    154 {"reason":"compiler-message","target_name":"rustc_target"}
    122 {"reason":"compiler-message","target_name":"cargo_submodule_tool_lib"}
     19 {"reason":"compiler-message","target_name":"rustc_llvm"}
     18 {"reason":"compiler-message","target_name":"odds"}
     17 {"reason":"compiler-message","target_name":"rust-src-scanner"}
     14 {"reason":"compiler-message","target_name":"prelude_generator"}
     11 {"reason":"compiler-message","target_name":"indexmap"}
     11 {"reason":"compiler-message","target_name":"atomic_maybe_uninit"}
      8 {"reason":"compiler-message","target_name":"tool_traits_lib"}
      8 {"reason":"compiler-message","target_name":"git_wrapper_lib"}
      5 {"reason":"compiler-message","target_name":"cargo_edit_lib"}
      4 {"reason":"compiler-message","target_name":"rustc_lint_defs"}
      4 {"reason":"compiler-message","target_name":"rustc_demangle"}
      4 {"reason":"compiler-message","target_name":"introspector_core"}
      3 {"reason":"compiler-message","target_name":"rustc_errors"}
      3 {"reason":"compiler-message","target_name":"dashmap"}
      2 {"reason":"compiler-message","target_name":"smallvec"}
      2 {"reason":"compiler-message","target_name":"rustc_macros"}
      2 {"reason":"compiler-message","target_name":"petgraph"}
      2 {"reason":"compiler-message","target_name":"parking_lot_core"}
      2 {"reason":"compiler-message","target_name":"macro_wrapper_lib"}
      2 {"reason":"compiler-message","target_name":"generate_workspace_deps"}
      2 {"reason":"compiler-message","target_name":"build-script-build"}
      1 {"reason":"compiler-message","target_name":"typesize"}
      1 {"reason":"compiler-message","target_name":"tera"}
      1 {"reason":"compiler-message","target_name":"rustc_index"}
      1 {"reason":"compiler-message","target_name":"rustc_expand_base_lib_custom_macros"}
      1 {"reason":"compiler-message","target_name":"rustc_data_structures"}
      1 {"reason":"compiler-message","target_name":"libz_rs_sys"}
      1 {"reason":"compiler-message","target_name":"hyper"}
      1 {"reason":"compiler-message","target_name":"find_non_vendored"}
      1 {"reason":"compiler-message","target_name":"expect_test"}
      1 {"reason":"compiler-message","target_name":"cargo-feature-adapter"}
      1 {"reason":"compiler-message","target_name":"bincode_derive"}
      1 {"reason":"compiler-message","target_name":"bincode"}
